px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
8.77072	-7.27907	-2.93185	2.30004	0.24909	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.04369	R
8.83099	-7.4323	-2.94507	2.27147	0.208869	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.31894	L
8.89462	-7.53671	-2.71003	2.26615	0.187647	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.10502	R
8.95207	-7.68483	-2.71293	2.2404	0.152385	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	1.01338	L
9.03415	-7.80166	-2.75248	2.24249	0.147777	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.416466	R
9.07738	-7.94951	-2.76012	2.20866	0.107559	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.34749	L
9.11792	-8.04379	-2.51527	2.1952	0.083354	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.1628	R
9.16282	-8.18519	-2.51851	2.16705	0.0516106	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.870749	L
9.24474	-8.31002	-2.62615	2.16896	0.0533702	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.25797	R
9.27517	-8.4584	-2.6384	2.12974	0.0128985	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.41735	L
9.31934	-8.56695	-2.46973	2.11264	-0.00927664	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.16947	R
9.35254	-8.71189	-2.4768	2.07892	-0.0412175	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.899693	L
9.49194	-8.89271	-3.02081	2.11228	0.00965765	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	30.1771	R
9.53426	-9.05989	-3.04367	2.07633	-0.0254541	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.0204	L
9.57196	-9.17522	-2.8603	2.0533	-0.0535237	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	3.85395	R
9.61301	-9.31988	-2.86707	2.02899	-0.0744563	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.377289	L
9.64811	-9.43433	-2.74525	2.0091	-0.0947058	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.87397	R
9.66422	-9.59012	-2.76173	1.96798	-0.129784	9.54779	-9.64959	9.55	-9.65	0	-3.0002	1.05835	L
9.72917	-9.734	-2.85001	1.96675	-0.121124	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.960429	R
9.74789	-9.89049	-2.86441	1.93064	-0.150035	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.755009	L
9.76548	-10.0151	-2.68886	1.89839	-0.181474	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.6936	R
9.79605	-10.1567	-2.68305	1.87829	-0.191196	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.202466	L
9.83767	-10.291	-2.68556	1.86697	-0.193447	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.467401	R
9.84463	-10.4398	-2.70174	1.83188	-0.217687	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.559661	L
9.88678	-10.5895	-2.76471	1.82598	-0.20784	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.966219	R
9.90565	-10.7455	-2.77095	1.80067	-0.221041	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.185469	L
9.91662	-10.8786	-2.64974	1.76973	-0.246401	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.82476	R
9.9169	-11.0334	-2.66001	1.73604	-0.26553	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.394327	L
9.93588	-11.1663	-2.6719	1.72219	-0.265198	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0927663	R
9.92556	-11.3172	-2.69485	1.68595	-0.286962	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.461883	L
9.94051	-11.4576	-2.71726	1.67192	-0.285458	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.122481	R
9.92194	-11.6092	-2.73894	1.63436	-0.307513	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.519575	L
9.87162	-11.7055	-2.44884	1.55935	-0.390129	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	14.1675	R
